,Event Date,Event Type,Restoration,Number of Customers Affected,Area Affected,States,Event Category,Region
1,2002-01-01 00:00:00,Ice Storm,2002-01-01 00:00:00,1881134,Oklahoma,Oklahoma,Severe Weather,Southern
3,2002-01-01 00:00:00,Ice Storm,,270000,Metropolitan Kansas City Area,Kansas,Severe Weather,MidWest
4,2002-01-01 00:00:00,Ice Storm,2002-01-01 00:00:00,95000,Missouri,Missouri,Severe Weather,MidWest
6,2002-01-01 00:00:00,Interruption of Firm Load,2002-01-01 00:00:00,255000,California,California,Transmission Interruption,West
8,2002-01-01 00:00:00,Severe Weather,2002-01-01 00:00:00,190000,Lower Peninsula of Michigan,Michigan,Severe Weather,MidWest
10,2002-01-01 00:00:00,Vandalism/,2002-01-01 00:00:00,0,Arizona,Arizona,Vandalism,West
13,2002-01-01 00:00:00,Interruption of Firm Power,2002-01-01 00:00:00,16000000,California,California,Transmission Interruption,West
14,2002-01-01 00:00:00,Interruption of Firm Power (Unit Tripped),2002-01-01 00:00:00,16000000,California,California,Transmission Interruption,West
15,2002-01-01 00:00:00,Fire,2002-01-01 00:00:00,63500,New York,New York,Severe Weather,East
17,2002-01-01 00:00:00,Interruption of Firm Power,2002-01-01 00:00:00,53565,Illinois,Illinois,Transmission Interruption,MidWest
18,2002-01-01 00:00:00,Interruption of Firm Power,2002-01-01 00:00:00,25000,Florida,Florida,Transmission Interruption,Southern
20,2002-01-01 00:00:00,Severe Weather,2002-01-01 00:00:00,25000,Florida,Florida,Severe Weather,Southern
22,2002-01-01 00:00:00,Hurricane Lily,2002-01-01 00:00:00,242910,Coastal Areas of Southern Louisiana,Louisiana,Severe Weather,Southern
24,2002-01-01 00:00:00,Winter Storm,2002-11-10 12:00:00,939000,Northern and Central California,California,Severe Weather,West
25,2002-01-01 00:00:00,Cable Tripped,,0,"Northport, NY-Norwalk, CT",Connecticut,Other,Other
25,2002-01-01 00:00:00,Cable Tripped,,0,"Northport, NY-Norwalk, CT",New York,Other,East
27,2002-01-01 00:00:00,Ice Storm,2002-01-01 00:00:00,224912,Northwest and North Central Connecticut,Connecticut,Severe Weather,Other
29,2002-01-01 00:00:00,Ice Storm,2002-01-01 00:00:00,43000,Arkansas,Arkansas,Severe Weather,Other
30,2002-01-01 00:00:00,Winter Storm,2002-01-01 00:00:00,130000,Northern Virginia to Fredericksburg-Staunton to Harrisonburg,Virginia,Severe Weather,Southern
32,2002-01-01 00:00:00,Winter Storm,2002-01-01 00:00:00,1500000,Northern and Central California,California,Severe Weather,West
33,2002-01-01 00:00:00,Winter Storm,2002-01-01 00:00:00,385000,Northern and Central California,California,Severe Weather,West
34,2002-01-01 00:00:00,Winter Storm,2002-01-01 00:00:00,106000,Eastern Pennsylvania,Pennsylvania,Severe Weather,East
35,2002-01-01 00:00:00,Winter Storm,2002-01-01 00:00:00,95630,"Reading, York, Hanover, Hamburg Pennsylvania",Pennsylvania,Severe Weather,East
41,2003-01-01 00:00:00,Cyber Threat From Internet ,2003-01-26 02:00:00,,"Cincinnati, Ohio",Ohio,Other,MidWest
43,2003-01-01 00:00:00,Winter Ice Storm,2003-03-01 08:00:00,340000,"Piedmont, North Carolina",North Carolina,Severe Weather,Southern
47,2003-01-01 00:00:00,Ice Storm,2003-04-06 17:00:00,425000,Lower Michigan Peninsula ,Michigan,Severe Weather,MidWest
48,2003-01-01 00:00:00,Severe Storm ,2003-04-05 14:00:00,160000,"New York, -Upstate New York",New York,Severe Weather,East
51,2003-01-01 00:00:00,Relaying Malfunction,2003-04-15 14:06:00,68530,"Cities of Bryan,-College Station",Georgia,Other,Southern
55,2003-01-01 00:00:00,Vandalism,2003-04-29 12:00:00,0,"County of Waukesha,  Wisconsin, -Town of Lisbon, Wisconsin",Wisconsin,Vandalism,MidWest
59,2003-01-01 00:00:00,Severe Thunderstorms,2003-05-04 12:00:00,139000,"Piedmont, North and-South Carolina",South Carolina,Severe Weather,Southern
62,2003-01-01 00:00:00,Severe Thunderstorms,2003-05-03 08:00:00,"102,842 (Georgia)-12,897 (Alabama)","Central Georgia,-Alabama",Alabama,Severe Weather,Southern
62,2003-01-01 00:00:00,Severe Thunderstorms,2003-05-03 08:00:00,"102,842 (Georgia)-12,897 (Alabama)","Central Georgia,-Alabama",Georgia,Severe Weather,Southern
64,2003-01-01 00:00:00,Interruption of Firm ,2003-05-15 03:29:00,192000,North Texas,Texas,Transmission Interruption,Southern
66,2003-01-01 00:00:00,Flood,2003-06-16 14:00:00,2,Upper Michigan Peninsula,Michigan,Other,MidWest
69,2003-01-01 00:00:00,Public Appeal ,2003-06-16 17:00:00,0,Idaho,Idaho,Other,West
72,2003-01-01 00:00:00,Tropical Storm Bill,2003-06-30 00:00:00,179299,Coastal areas of-Southwest Louisiana,Louisiana,Severe Weather,Southern
77,2003-01-01 00:00:00,Breaker Failure,2003-07-01 15:50:00,47000,"Phoenix, Arizona",Arizona,Transmission Interruption,West
78,2003-01-01 00:00:00,Unit Tripped,2003-07-02 15:59:00,1,Northern California,California,Other,West
79,2003-01-01 00:00:00,Severe Thunderstorms,2003-07-04 10:00:00,52000,Southeast Wisconsin,Wisconsin,Severe Weather,MidWest
80,2003-01-01 00:00:00,Severe Thunderstorms,2003-07-06 16:00:00,131000,Lower Michigan Peninsula,Michigan,Severe Weather,MidWest
81,2003-01-01 00:00:00,Severe Storms,2003-07-06 21:00:00,55142,"Southwest Ohio, portions of Indiana",Indiana,Severe Weather,MidWest
81,2003-01-01 00:00:00,Severe Storms,2003-07-06 21:00:00,55142,"Southwest Ohio, portions of Indiana",Ohio,Severe Weather,MidWest
82,2003-01-01 00:00:00,Severe Storms,2003-07-05 07:00:00,130000,Northern Illinois,Illinois,Severe Weather,MidWest
83,2003-01-01 00:00:00,Severe Thunderstorms,2003-07-07 15:00:00,72000,Northern Illinois,Illinois,Severe Weather,MidWest
84,2003-01-01 00:00:00,Severe Thunderstorms,2003-07-11 16:00:00,134500,Ohio,Ohio,Severe Weather,MidWest
85,2003-01-01 00:00:00,Severe Thunderstorms,2003-07-09 19:09:00,80000,Northern Central and Eastern Virginia,Virginia,Severe Weather,Southern
86,2003-01-01 00:00:00,Hurricane Claudette,2003-07-21 10:30:00,108000,Texas,Texas,Severe Weather,Southern
87,2003-01-01 00:00:00,Severe Storms,2003-07-24 05:33:00,185000,Pennsylvania,Pennsylvania,Severe Weather,East
88,2003-01-01 00:00:00,Breaker Closed,2003-07-28 20:35:00,90000,Arizona,Arizona,Other,West
95,2003-01-01 00:00:00,Unknown *,2003-08-17 17:00:00,,Geographic areas for MISO Reliability Coordination footprint:  Michigan and Ohio,Michigan,Other,MidWest
95,2003-01-01 00:00:00,Unknown *,2003-08-17 17:00:00,,Geographic areas for MISO Reliability Coordination footprint:  Michigan and Ohio,Ohio,Other,MidWest
99,2003-01-01 00:00:00,Unknown *,2003-08-16 07:00:00,2100000,Southeastern Michigan including all of Detroit,Michigan,Other,MidWest
100,2003-01-01 00:00:00,Unknown *,2003-08-16 13:03:00,101000,"Southern Lower  Michigan and small areas near Flint, Alma, Saginaw, and Lansing Michigan",Michigan,Other,MidWest
101,2003-01-01 00:00:00,Unknown *,2003-08-16 20:27:00,1203000,"Northeast, Ohio",Ohio,Other,MidWest
102,2003-01-01 00:00:00,Unknown *,2003-08-16 03:45:00,,Southwestern Connecticut and a small portion of Western Massachusetts and Vermont,Massachusetts,Other,East
102,2003-01-01 00:00:00,Unknown *,2003-08-16 03:45:00,,Southwestern Connecticut and a small portion of Western Massachusetts and Vermont,Vermont,Other,East
102,2003-01-01 00:00:00,Unknown *,2003-08-16 03:45:00,,Southwestern Connecticut and a small portion of Western Massachusetts and Vermont,Connecticut,Other,Other
106,2003-01-01 00:00:00,Unknown *,2003-08-18 00:03:00,,New York State,New York,Other,East
107,2003-01-01 00:00:00,Unknown *,2003-08-14 23:48:00,840137,"New York- Buffalo to Albany; Ontario, Canada to Pennsylvania",New York,Other,East
107,2003-01-01 00:00:00,Unknown *,2003-08-14 23:48:00,840137,"New York- Buffalo to Albany; Ontario, Canada to Pennsylvania",Pennsylvania,Other,East
108,2003-01-01 00:00:00,Unknown *,2003-08-15 06:00:00,,"Northern New Jersey Erie, Pennsylvania  area",New Jersey,Other,East
108,2003-01-01 00:00:00,Unknown *,2003-08-15 06:00:00,,"Northern New Jersey Erie, Pennsylvania  area",Pennsylvania,Other,East
110,2003-01-01 00:00:00,Unknown *,2003-08-15 21:03:00,3125350,Entire Con Edison System (five boroughs of NYC and Westchester County),New York,Other,East
111,2003-01-01 00:00:00,Severe Thunderstorms,2003-08-29 12:00:00,93000,"Maryland: Anne Arundel County, Baltimore County, Calvert County, Carroll County, Howard County, Montgomery County,  Prince George's and Baltimore City.",Maryland,Severe Weather,Southern
112,2003-01-01 00:00:00,Severe Thunderstorms,2003-08-31 18:00:00,153000,"Washington, D.C.,  Montgomery County,  Prince Georges County, Maryland",Maryland,Severe Weather,Southern
112,2003-01-01 00:00:00,Severe Thunderstorms,2003-08-31 18:00:00,153000,"Washington, D.C.,  Montgomery County,  Prince Georges County, Maryland",Washington,Severe Weather,West
114,2003-01-01 00:00:00,Transmission  Equipment,2003-09-07 18:00:00,,Upper Michigan Peninsula,Michigan,Transmission Interruption,MidWest
115,2003-01-01 00:00:00,Hurricane Isabel,2003-09-29 22:42:00,1800000,"North Eastern North Carolina, Eastern Central , and Northern Virginia",North Carolina,Severe Weather,Southern
115,2003-01-01 00:00:00,Hurricane Isabel,2003-09-29 22:42:00,1800000,"North Eastern North Carolina, Eastern Central , and Northern Virginia",Virginia,Severe Weather,Southern
116,2003-01-01 00:00:00,Hurricane Isabel,2003-09-18 00:00:00,320000,Eastern North Carolina,North Carolina,Severe Weather,Southern
117,2003-01-01 00:00:00,Hurricane Isabel,2003-09-26 22:50:00,650000,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Hartford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",Maryland,Severe Weather,Southern
118,2003-01-01 00:00:00,Hurricane Isabel,2003-09-24 00:00:00,237366,"Maryland, West Virginia, Virginia and Pennsylvania",Maryland,Severe Weather,Southern
118,2003-01-01 00:00:00,Hurricane Isabel,2003-09-24 00:00:00,237366,"Maryland, West Virginia, Virginia and Pennsylvania",Pennsylvania,Severe Weather,East
118,2003-01-01 00:00:00,Hurricane Isabel,2003-09-24 00:00:00,237366,"Maryland, West Virginia, Virginia and Pennsylvania",Virginia,Severe Weather,Southern
118,2003-01-01 00:00:00,Hurricane Isabel,2003-09-24 00:00:00,237366,"Maryland, West Virginia, Virginia and Pennsylvania",West Virginia,Severe Weather,Southern
119,2003-01-01 00:00:00,Hurricane Isabel,2003-09-19 17:00:00,50000,Triangle and Tridad (Greensboro – High Point)  Areas North Carolina - Northern Region,North Carolina,Severe Weather,Southern
126,2003-01-01 00:00:00,Hurricane Isabel,2003-09-28 18:00:00,530000,"District of Columbia, Montgomery and Prince George's Counties, Maryland",District of Columbia,Severe Weather,Other
126,2003-01-01 00:00:00,Hurricane Isabel,2003-09-28 18:00:00,530000,"District of Columbia, Montgomery and Prince George's Counties, Maryland",Maryland,Severe Weather,Southern
127,2003-01-01 00:00:00,Hurricane Isabel,2003-09-21 17:00:00,425000,"All PPL including: Williamsport, Harrisburg, Lancaster, Scranton and Allentown areas",Pennsylvania,Severe Weather,East
129,2003-01-01 00:00:00,Wild Fire,,108000,"San Diego County, California",California,Severe Weather,West
131,2003-01-01 00:00:00,Tornado,2003-11-05 15:54:00,1,Maryland/Virginia border,Maryland,Severe Weather,Southern
131,2003-01-01 00:00:00,Tornado,2003-11-05 15:54:00,1,Maryland/Virginia border,Virginia,Severe Weather,Southern
132,2003-01-01 00:00:00,Wind Storm,2003-11-16 18:00:00,245000,Lower Michigan Peninsula,Michigan,Severe Weather,MidWest
133,2003-01-01 00:00:00,High Winds,2003-11-12 19:00:00,51000,Northern Illinois,Illinois,Severe Weather,MidWest
134,2003-01-01 00:00:00,Storm with High Winds,2003-11-16 17:00:00,160000,Southeastern Michigan,Michigan,Severe Weather,MidWest
135,2003-01-01 00:00:00,High Winds,2003-11-16 16:00:00,110000,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Harford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",Maryland,Severe Weather,Southern
136,2003-01-01 00:00:00,Storm with High Winds,2003-11-14 06:30:00,50280,New York,New York,Severe Weather,East
137,2003-01-01 00:00:00,Major Wind Storm,2003-11-14 07:30:00,104195,"Washington, D.C., Montgomery County, Prince Georges County, Md",Washington,Severe Weather,West
138,2003-01-01 00:00:00,Wind Storm,2003-11-13 15:51:00,67000,"Northern Virginia, Richmond area, Eastern Virginia",Virginia,Severe Weather,Southern
140,2003-01-01 00:00:00,Wild Fire – Transmission Equipment,2003-12-01 20:11:00,300000,Cape Cod and part of SE Massachusetts,Massachusetts,Severe Weather,East
141,2003-01-01 00:00:00,High Winds,2003-12-08 07:00:00,200000,Eastern portions of King County and Pierce County,Washington,Severe Weather,West
142,2003-01-01 00:00:00,Fault on 138 KV line,2003-12-07 08:30:00,,Northeast Wisconsin and Central/Western Upper Peninsula of Michigan,Michigan,System Operations,MidWest
142,2003-01-01 00:00:00,Fault on 138 KV line,2003-12-07 08:30:00,,Northeast Wisconsin and Central/Western Upper Peninsula of Michigan,Wisconsin,System Operations,MidWest
143,2003-01-01 00:00:00,Fault on 138 KV line,2003-12-08 08:30:00,36000,Upper Peninsula of Michigan and Northeastern Wisconsin,Michigan,System Operations,MidWest
143,2003-01-01 00:00:00,Fault on 138 KV line,2003-12-08 08:30:00,36000,Upper Peninsula of Michigan and Northeastern Wisconsin,Wisconsin,System Operations,MidWest
144,2003-01-01 00:00:00,Transmission Equipment,2003-12-05 06:25:00,16500,State of Florida - Dade County,Florida,Transmission Interruption,Southern
145,2003-01-01 00:00:00,Transmission Equipment,2003-12-05 20:00:00,2,Northeast Wisconsin and Central/Western Upper Peninsula of Michigan,Michigan,Transmission Interruption,MidWest
145,2003-01-01 00:00:00,Transmission Equipment,2003-12-05 20:00:00,2,Northeast Wisconsin and Central/Western Upper Peninsula of Michigan,Wisconsin,Transmission Interruption,MidWest
146,2003-01-01 00:00:00,Cable Failure,2003-12-21 23:45:00,120000,"San Francisco, California",California,Transmission Interruption,West
147,2003-01-01 00:00:00,Earthquake,2003-12-22 11:16:00,109750,Central California Coast,California,Other,West
148,2003-01-01 00:00:00,Winter Storm,2004-01-01 11:30:00,241000,Northern California,California,Severe Weather,West
